year,season_type,game_id,team,opp,week,gsis_id,pos,player,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa
2020,POST,2020_18_CHI_NO,CHI,NO,18.0,00-0034597,RB,R.Nall,1.0,0.0,0.0,0.0,0.0,0.0,-0.3897487535723485,1.0,0.0,0.0,0.0,0.0,0.0,-0.3897487535723485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3897487535723485
2020,POST,2020_18_CHI_NO,CHI,NO,18.0,00-0035685,RB,D.Montgomery,12.0,31.0,0.0,0.0,0.0,0.0,-3.743317386484705,12.0,31.0,0.0,0.0,0.0,0.0,-3.743317386484705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,0.0,0.0,0.0,0.0,-3.743317386484705
2020,POST,2020_18_CHI_NO,NO,CHI,18.0,00-0020531,QB,D.Brees,3.0,2.0,0.0,1.0,0.0,0.0,-4.823449233721477,3.0,2.0,0.0,1.0,0.0,0.0,-4.823449233721477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,-4.823449233721477
2020,POST,2020_18_CHI_NO,NO,CHI,18.0,00-0030513,RB,L.Murray,4.0,9.0,0.0,0.0,0.0,0.0,-1.4739993668626994,4.0,9.0,0.0,0.0,0.0,0.0,-1.4739993668626994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,-1.4739993668626994
2020,POST,2020_18_CHI_NO,NO,CHI,18.0,00-0033357,QB,T.Hill,4.0,15.0,0.0,0.0,0.0,0.0,0.03079212474403917,4.0,15.0,0.0,0.0,0.0,0.0,0.03079212474403917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.03079212474403917
2020,POST,2020_18_CHI_NO,NO,CHI,18.0,00-0033906,RB,A.Kamara,23.0,99.0,1.0,0.0,0.0,0.0,-0.9376894707351674,23.0,99.0,1.0,0.0,0.0,0.0,-0.9376894707351674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,99.0,1.0,0.0,0.0,0.0,-0.9376894707351674
2020,POST,2020_18_CHI_NO,NO,CHI,18.0,00-0035215,WR,D.Harris,1.0,-2.0,0.0,0.0,0.0,0.0,-1.34241596236825,1.0,-2.0,0.0,0.0,0.0,0.0,-1.34241596236825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,-1.34241596236825
2020,POST,2020_18_CLE_PIT,CLE,PIT,18.0,00-0033923,RB,K.Hunt,8.0,48.0,2.0,0.0,0.0,0.0,2.88123419485055,8.0,48.0,2.0,0.0,0.0,0.0,2.88123419485055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,2.0,0.0,0.0,0.0,2.88123419485055
2020,POST,2020_18_CLE_PIT,CLE,PIT,18.0,00-0034791,RB,N.Chubb,18.0,76.0,0.0,0.0,0.0,0.0,-2.0832149612370565,18.0,76.0,0.0,0.0,0.0,0.0,-2.0832149612370565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,76.0,0.0,0.0,0.0,0.0,-2.0832149612370565
2020,POST,2020_18_CLE_PIT,CLE,PIT,18.0,00-0034855,QB,B.Mayfield,5.0,3.0,0.0,0.0,0.0,0.0,-2.1880601561279036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,-0.131965669686906,3.0,-5.0,0.0,0.0,0.0,0.0,-2.0560944864409976,2.0,8.0,0.0,0.0,0.0,0.0,-0.131965669686906
