year,season_type,game_id,team,opp,week,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa,attempts_rb,yards_rb,td_rb,epa_rb,attempts_qb_designed,yards_qb_designed,td_qb_designed,epa_qb_designed,attempts_qb_scramble,yards_qb_scramble,td_qb_scramble,epa_qb_scramble,attempts_qb_kneel,yards_qb_kneel,epa_qb_kneel,attempts_wr,yards_wr,td_wr,epa_wr,attempts_other,yards_other,td_other,epa_other
2020,POST,2020_19_BAL_BUF,BUF,BAL,19,16,32,0,0,0,0,-4.811860273858269,11,33,0,0,0,0,-3.710904104693327,1,4,0,0,0,0,-1.1009561691649417,4,-5,0,0,0,0,0.0,12,37,0,0,0,0,-4.811860273858269,9,29,0,-2.7798416134901345,2,4,0,-0.9310624912031924,1,4,0,-1.1009561691649417,4,-5,0.0,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_19_CLE_KC,CLE,KC,19,22,112,1,0,0,0,9.570151484338567,22,112,1,0,0,0,9.570151484338567,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,22,112,1,0,0,0,9.570151484338567,19,101,1,5.662879201932811,3,11,0,3.9072722824057564,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_19_CLE_KC,KC,CLE,19,24,123,1,0,0,0,2.686458100972232,21,98,1,0,0,0,2.1249166363850236,2,26,0,0,0,0,1.8338475674390795,1,-1,0,0,0,0,-1.2723061028518714,23,124,1,0,0,0,3.958764203824103,15,84,0,2.7152299407753167,2,1,1,-1.099645530804992,2,26,0,1.8338475674390795,1,-1,-1.2723061028518714,4,13,0,0.509332226414699,0,0,0,0.0
2020,POST,2020_19_LA_GB,GB,LA,19,36,188,2,1,0,0,4.610758014197927,32,191,1,1,0,0,7.019049660564633,1,1,1,0,0,0,1.5629591890319716,3,-4,0,0,0,0,-3.9712508353986777,33,192,2,1,0,0,8.582008849596605,32,191,1,7.019049660564633,0,0,0,0.0,1,1,1,1.5629591890319716,3,-4,-3.9712508353986777,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_19_LA_GB,LA,GB,19,19,96,1,0,0,0,3.6472668198985048,18,90,1,0,0,0,3.4080802153912373,1,6,0,0,0,0,0.2391866045072675,0,0,0,0,0,0,0.0,19,96,1,0,0,0,3.6472668198985048,18,90,1,3.4080802153912373,0,0,0,0.0,1,6,0,0.2391866045072675,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_19_TB_NO,NO,TB,19,25,104,0,0,0,0,1.304846764774993,25,104,0,0,0,0,1.304846764774993,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,25,104,0,0,0,0,1.304846764774993,23,101,0,0.3476952987257394,2,3,0,0.9571514660492538,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_19_TB_NO,TB,NO,19,35,127,1,0,0,0,-1.456386127974839,32,128,1,0,0,0,1.508959439990576,0,0,0,0,0,0,0.0,3,-1,0,0,0,0,-2.965345567965415,32,128,1,0,0,0,1.508959439990576,30,125,0,-1.681949100166094,2,3,1,3.19090854015667,0,0,0,0.0,3,-1,-2.965345567965415,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_20_BUF_KC,BUF,KC,20,18,129,0,0,0,0,9.410160922445357,13,62,0,0,0,0,4.813512396882287,5,67,0,0,0,0,4.596648525563069,0,0,0,0,0,0,0.0,18,129,0,0,0,0,9.410160922445357,9,32,0,-0.5164020208176228,2,21,0,2.3607242262223735,5,67,0,4.596648525563069,0,0,0.0,2,9,0,2.9691901914775367,0,0,0,0.0
2020,POST,2020_20_BUF_KC,KC,BUF,20,25,114,2,0,0,0,2.223865402280354,21,118,2,0,0,0,5.891258029150777,0,0,0,0,0,0,0.0,4,-4,0,0,0,0,-3.6673926268704236,21,118,2,0,0,0,5.891258029150777,19,59,2,1.9562263328116392,1,9,0,0.7517448742873967,0,0,0,0.0,4,-4,-3.6673926268704236,1,50,0,3.1832868220517416,0,0,0,0.0
2020,POST,2020_20_TB_GB,GB,TB,20,16,67,0,0,0,0,0.38364342006389074,16,67,0,0,0,0,0.38364342006389074,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,16,67,0,0,0,0,0.38364342006389074,16,67,0,0.3836434200638907,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
